fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12312005,NUE.N,2633.275,1456.826273,0.013113386,2836.796,10382.88967
12312006,NUE.N,2885.206,1641.581295,0.014862295,2792.301,16513.67882
12312007,NUE.N,2539.558,1661.646437,0.011547398,4425.759,17051.02415
12312008,NUE.N,3362.227,1969.804524,0.026006798,5617.762,14504.47129
12312009,NUE.N,1680.372,1671.646101,0.031818815,4987.615,14686.04464
12312010,NUE.N,1359.389,1714.59972,0.024447689,6591.216,13835.24951
12312011,NUE.N,1649.393,1900.724236,0.026051572,6863.77,12531.97712
12312012,NUE.N,1833.285,1978.647117,0.028404172,6266.685,13709.27421
12312013,NUE.N,1711.839,2046.130772,0.020839969,7293.005,16986.10558
12312014,NUE.N,2044.203,2183.324892,0.023936424,7540.809,15646.94691
12312015,NUE.N,2796.032,2194.235814,0.027790249,6477.092,12880.48039
12312016,NUE.N,2517.694,2412.252894,0.026317262,6968.81,18956.2366
12312017,NUE.N,1738.794,2400.264905,0.026317262,6756.47,20213.14213
12311998,PPG.N,2196,1939.549469,0.027375566,4420,10298.66125
12311999,PPG.N,2255,2020.385706,0.021541156,5710,10892.1594
12312000,PPG.N,2429,2208.703195,0.033050847,5900,7815.369978
12312001,PPG.N,2635,2207.489186,0.034285714,5250,8708.283678
12312002,PPG.N,2428,2171.731265,0.024543174,5582,8497.154317
12312003,PPG.N,2810,2286.417349,0.020275298,5376,10878.67116
12312004,PPG.N,2834,2399.535673,0.01918693,5264,11716.25605
12312005,PPG.N,2781,2278.074785,0.014855072,5520,9670.891092
12312006,PPG.N,3184,2622.023536,0.01350135,6666,10611.47771
12312007,PPG.N,3475,2950.371073,0.012264038,8317,11499.71556
12312008,PPG.N,5103,4190.106829,0.020876082,11209,6967.469802
12312009,PPG.N,4482,3647.220519,0.019480519,10318,9775.319813
12312010,PPG.N,4478,3664.70213,0.016962843,11142,13705.02885
12312011,PPG.N,4770,3817.541913,0.019385516,10936,12892.72167
12312012,PPG.N,4993,3676.730379,0.018951194,11556,20755.97285
12312013,PPG.N,5478,4145.258288,0.018846695,10665,26936.01276
12312014,PPG.N,5442,4360.116648,0.017697678,12318,31721.88204
12312015,PPG.N,5604,4143.296703,0.010410594,12007,26609.18234
12312016,PPG.N,5999,5096.78993,0.01151437,10856,25016.18932
12312017,PPG.N,5303,4146.58803,0.009664059,10865,29727.87779
12311998,PX.N,1853,1631.85644,0.050941945,5202,5560.955471
12311999,PX.N,1819,1627.415576,0.041816727,4998,7997.164228
12312000,PX.N,1809,1746.092679,0.043262817,5247,7038.01771
12312001,PX.N,1943,1822.198561,0.044120544,5077,8886.957859
12312002,PX.N,1962,1928.067495,0.042883398,4897,9342.126677
12312003,PX.N,2071,1974.058982,0.033452808,5022,12419.45267
12312004,PX.N,2272,2147.559657,0.026468156,6045,14336.54584
12312005,PX.N,2637,2364.985339,0.027399405,6387,17069.20835
12312006,PX.N,3006,2547.78323,0.026557066,6326,19157.5918
12312007,PX.N,3357,2790.434285,0.026392221,7919,28024.46179
12312008,PX.N,3573,3031.455763,0.025506119,8743,18306.46533
12312009,PX.N,3427,2868.403961,0.019725459,8669,24639.85512
12312010,PX.N,3286,3111.877166,0.020265089,9129,29250.06805
12312011,PX.N,3913,3319.518821,0.021181932,10339,32044.29386
12312012,PX.N,4245,3495.020934,0.019532276,11417,32520.48875
12312013,PX.N,4450,3686.127744,0.014213982,12945,38276.07251
12312014,PX.N,4386,3833.639664,0.015460502,13583,37750.22641
12312015,PX.N,4008,3816.417519,0.012972489,13413,29168.18104
12312016,PX.N,4107,4012.387106,0.013616715,13880,33444.73586
